Quiz ID,Quiz Title,Question ID,Question Description,Option ID,Option Text,Is Correct
43,Structural Organisation in Animals and Plants (7),1827,The tissue which has free surface that faces either a body fluid or the outside environment is called characteristics of the,7321,Muscular tissue,False
43,Structural Organisation in Animals and Plants (7),1827,The tissue which has free surface that faces either a body fluid or the outside environment is called characteristics of the,7322,Fluid connective tissue,False
43,Structural Organisation in Animals and Plants (7),1827,The tissue which has free surface that faces either a body fluid or the outside environment is called characteristics of the,7323,Epithelial tissue,True
43,Structural Organisation in Animals and Plants (7),1827,The tissue which has free surface that faces either a body fluid or the outside environment is called characteristics of the,7324,Nervous tissue,False
43,Structural Organisation in Animals and Plants (7),1828,"Epithelial tissue is distinguished from connective tissue, muscular, or nervous tissue by its",7325,large extracellular matrix,False
43,Structural Organisation in Animals and Plants (7),1828,"Epithelial tissue is distinguished from connective tissue, muscular, or nervous tissue by its",7326,contractibility,False
43,Structural Organisation in Animals and Plants (7),1828,"Epithelial tissue is distinguished from connective tissue, muscular, or nervous tissue by its",7327,ability to carry action potentials,False
43,Structural Organisation in Animals and Plants (7),1828,"Epithelial tissue is distinguished from connective tissue, muscular, or nervous tissue by its",7328,basement membrane,True
43,Structural Organisation in Animals and Plants (7),1829,The ciliated columnar epithelial cells in humans occur in,7329,Eustachian tube and stomach lining,False
43,Structural Organisation in Animals and Plants (7),1829,The ciliated columnar epithelial cells in humans occur in,7330,bronchioles and fallopian tubes,True
43,Structural Organisation in Animals and Plants (7),1829,The ciliated columnar epithelial cells in humans occur in,7331,bile duct and oesophagus,False
43,Structural Organisation in Animals and Plants (7),1829,The ciliated columnar epithelial cells in humans occur in,7332,fallopian tubes and urethra,False
43,Structural Organisation in Animals and Plants (7),1830,The squamous epithelium is found in,7333,stomach,False
43,Structural Organisation in Animals and Plants (7),1830,The squamous epithelium is found in,7334,intestine,False
43,Structural Organisation in Animals and Plants (7),1830,The squamous epithelium is found in,7335,trachea,False
43,Structural Organisation in Animals and Plants (7),1830,The squamous epithelium is found in,7336,air sacs of lungs,True
43,Structural Organisation in Animals and Plants (7),1831,The kind of epithelium which forms the inner walls of blood vessels is,7337,cuboidal epithelium,False
43,Structural Organisation in Animals and Plants (7),1831,The kind of epithelium which forms the inner walls of blood vessels is,7338,columnar epithelium,False
43,Structural Organisation in Animals and Plants (7),1831,The kind of epithelium which forms the inner walls of blood vessels is,7339,ciliated columnar epithelium,False
43,Structural Organisation in Animals and Plants (7),1831,The kind of epithelium which forms the inner walls of blood vessels is,7340,squamous epithelium,True
43,Structural Organisation in Animals and Plants (7),1832,Which of the following type of cell junction is not found in animal tissues?,7341,Adhering junction,False
43,Structural Organisation in Animals and Plants (7),1832,Which of the following type of cell junction is not found in animal tissues?,7342,Tight junction,False
43,Structural Organisation in Animals and Plants (7),1832,Which of the following type of cell junction is not found in animal tissues?,7343,Gap junction,False
43,Structural Organisation in Animals and Plants (7),1832,Which of the following type of cell junction is not found in animal tissues?,7344,Plasmodesmata,True
43,Structural Organisation in Animals and Plants (7),1833,Which of the following statement is incorrect regarding cuboidal epithelium?,7345,It is an epithelial tissue,False
43,Structural Organisation in Animals and Plants (7),1833,Which of the following statement is incorrect regarding cuboidal epithelium?,7346,It is composed of a single layer of cube-like cells.,False
43,Structural Organisation in Animals and Plants (7),1833,Which of the following statement is incorrect regarding cuboidal epithelium?,7347,They are found in the walls of blood vessels and air sacs of lungs.,True
43,Structural Organisation in Animals and Plants (7),1833,Which of the following statement is incorrect regarding cuboidal epithelium?,7348,Secretion and absorption are the main functions of these tissue.,False
43,Structural Organisation in Animals and Plants (7),1834,Which of the following statement(s) is/are correct  regarding compound epithelium?,7349,It is made of more than one layer of cells and thus has a limited role in secretion and absorption.,False
43,Structural Organisation in Animals and Plants (7),1834,Which of the following statement(s) is/are correct  regarding compound epithelium?,7350,Their main function is to provide protection against chemical and mechanical stresses.,False
43,Structural Organisation in Animals and Plants (7),1834,Which of the following statement(s) is/are correct  regarding compound epithelium?,7351,"They cover the dry surface of the skin, moist surface of buccal cavity, pharynx, inner lining of ducts of salivary glands and pancreatic ducts.",False
43,Structural Organisation in Animals and Plants (7),1834,Which of the following statement(s) is/are correct  regarding compound epithelium?,7352,All of the above,True
43,Structural Organisation in Animals and Plants (7),1835,"Ciliated simple columnar epithelium often contains _________,which increase the surface area for secretion and absorption.",7353,flagella,False
43,Structural Organisation in Animals and Plants (7),1835,"Ciliated simple columnar epithelium often contains _________,which increase the surface area for secretion and absorption.",7354,collagen fibres,False
43,Structural Organisation in Animals and Plants (7),1835,"Ciliated simple columnar epithelium often contains _________,which increase the surface area for secretion and absorption.",7355,microvilli,True
43,Structural Organisation in Animals and Plants (7),1835,"Ciliated simple columnar epithelium often contains _________,which increase the surface area for secretion and absorption.",7356,all of these,False
43,Structural Organisation in Animals and Plants (7),1836,A student was given a sample of two tissues. He observes the tissues under the microscope and draws their figures (1 and 2) as shown below. Identify the tissues (1 and 2).,7357,1: Columnar cells bearing cilia: 2: Unicellular glandular epithelium,False
43,Structural Organisation in Animals and Plants (7),1836,A student was given a sample of two tissues. He observes the tissues under the microscope and draws their figures (1 and 2) as shown below. Identify the tissues (1 and 2).,7358,1: Cuboidal cells bearing cilia: 2: Multicellular glandular epithelium,False
43,Structural Organisation in Animals and Plants (7),1836,A student was given a sample of two tissues. He observes the tissues under the microscope and draws their figures (1 and 2) as shown below. Identify the tissues (1 and 2).,7359,1: Compound cells bearing cilia; 2: Unicellular glandular epithelium,False
43,Structural Organisation in Animals and Plants (7),1836,A student was given a sample of two tissues. He observes the tissues under the microscope and draws their figures (1 and 2) as shown below. Identify the tissues (1 and 2).,7360,1. Columnar cells bearing cilia; 2: Multicellular glandular epithelium,True
43,Structural Organisation in Animals and Plants (7),1837,Which of the following statement(s) regarding cell junctions is/are correct?,7361,Tight junctions help to stop substances from leaking across a tissue.,False
43,Structural Organisation in Animals and Plants (7),1837,Which of the following statement(s) regarding cell junctions is/are correct?,7362,Adhering junctions perform cementing to keen neighbouring cells together.,False
43,Structural Organisation in Animals and Plants (7),1837,Which of the following statement(s) regarding cell junctions is/are correct?,7363,All of the above,True
43,Structural Organisation in Animals and Plants (7),1837,Which of the following statement(s) regarding cell junctions is/are correct?,7364,"Gap junctions facilitate the cells to communicate With each other by connecting the cytoplasm adjoining cells, for rapid transfer of ions small molecules and sometimes big molecules",False
43,Structural Organisation in Animals and Plants (7),1838,Choose the correctly matched pair,7365,Inner lining of salivary ducts - Ciliated epithelium,False
43,Structural Organisation in Animals and Plants (7),1838,Choose the correctly matched pair,7366,Moist surface of buccal cavity - Glandular epithelium,False
